# Format:
#   Sub Package: 0. normal 1. subpkg
#   Url Type: 1. github 2. google 3. bitbucket 4. sogou 5. tragtor 6. youdao
#     7. opera 8. pacman 9. apt 10. nginx 11. ccal 12. sandbox 14. wps
#     20. qt-installer-freamwork 21. pycharm 22. nvidia
#   Name, Url, Branch, RPM Commit, RPM Update Time, Others


0,10,nginx,http://nginx.org/en/CHANGES,None,None,160531,nginx-1.11.1-1.modsec_2.9.0.fc24.src.rpm
1,1,ngx-lua,https://github.com/openresty/lua-nginx-module,master,1d3d441,160526
1,1,ngx-devel,https://github.com/simpl/ngx_devel_kit,master,e443262,160510
1,1,CoreRuleSet,https://github.com/SpiderLabs/owasp-modsecurity-crs,master,60c8bc9,151030
1,1,ngx-fancy,https://github.com/aperezdc/ngx-fancyindex,master,c97e11a,160126
1,1,ngx-echo,https://github.com/openresty/echo-nginx-module,master,02c40f1,160516
0,1,openresty,https://github.com/openresty/ngx_openresty,master,da90bd7,160122,openresty-1.9.7.2-1.modsec_2.9.0.fc23.src.rpm
0,1,tengine,https://github.com/alibaba/tengine,master,f7b40e5,151231,tengine-2.1.2-1.modsec_2.9.0.fc23.src.rpm

0,1,ircd-hybrid,https://github.com/ircd-hybrid/ircd-hybrid,master,826e0f4,160422,ircd-hybrid-8.2.17-1.fc24.src.rpm
0,1,mu,https://github.com/Kreogist/Mu,master,e9c1a94,160523,mu-0.9.287-1.gite9c1a94.fc24.src.rpm

0,11,ccal,http://ccal.chinesebay.com/ccal/ccal.htm.html,None,None,120304,ccal-2.5.3-1.fc22.src.rpm
#!0,22,checkinstall,http://asic-linux.com.mx/~izto/checkinstall,None,None,150203,checkinstall-1.6.3-1.fc23.src.rpm

0,12,sandbox,https://gitweb.gentoo.org/proj/sandbox.git/log,master,767beca,160329,sandbox-2.11-1.fc24.src.rpm

0,1,atom,https://github.com/atom/atom,master,f89b273,160607,atom-1.8.0-1.gitf89b273.fc24.src.rpm
1,1,apm,https://github.com/atom/apm,master,87b4bcb,160502,nodejs-atom-package-manager-1.10.0-3.git87b4bcb.fc24.src.rpm
1,1,electron,https://github.com/electron/electron,master,b2bea57,160608,electron-1.2.2-1.gitb2bea57.fc24.src.rpm
0,1,brackets,https://github.com/adobe/brackets,master,3df0ac6,160112,brackets-1.6-1.fc23.src.rpm
1,1,brackets-shell,https://github.com/adobe/brackets-shell,master,1363c89,151212
0,1,vscode,https://github.com/Microsoft/vscode,master,2833eb9,160527,vscode-1.2.0-1.fc24.src.rpm

#!0,13,oracle-jdk8,http://www.oracle.com/technetwork/java/javase,None,None,151222,oracle-jdk8-1.8.0.72-1.net.src.rpm
#!0,13,oracle-jdk7,http://www.oracle.com/technetwork/java/javase/archive-139210.html,None,None,151222,oracle-jdk7-1.7.0.80-1.net.src.rpm
0,14,wps-office,http://wps-community.org/downloads,None,None,160203,wps-office-10.1.0.5503-1.a20p2.net.src.rpm
#!0,15,wine-qqintl,http://packages.deepin.com/deepin/pool/non-free/d/deepinwine-qqintl,None,None,141231,wine-qqintl-0.1.3-2.net.src.rpm

#!0,16,FoxitReader,http://cdn02.foxitsoftware.com/pub/foxit/reader/desktop/linux/1.x/1.1/enu,None,None,141231,FoxitReader-1.1.0-1.fc23.src.rpm,https://github.com/archlinuxcn/repo/commit/ceff4a52428e36beb0ed5d13307df21bfcb554b2
1,20,qt-installer-frame,http://download.qt.io/official_releases/qt-installer-framework,None,None,160504,qt-installer-framework-2.0.3-1.fc24.src.rpm

0,21,pycharm-community,https://data.services.jetbrains.com/products/releases?code=PCP%2PCC&latest=true&type=release,None,None,160323,pycharm-community-2016.1-1.net.src.rpm
0,21,pycharm-professional,https://data.services.jetbrains.com/products/releases?code=PCP%2PCC&latest=true&type=release,None,None,160323,pycharm-professional-2016.1-1.net.src.rpm

0,1,xx-net,https://github.com/XX-net/XX-Net,master,262bc73,160228,xx-net-2.9.1-1.git262bc73.fc23.src.rpm
0,1,gmediarender,https://github.com/hzeller/gmrender-resurrect,master,4003616,151105,gmediarender-0.0.7-1.git4003616.fc23.src.rpm
